"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","H","RBI","HR","AVG","OPS","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age"
1873,"Justin Verlander","SP",39.8,"R","R","HOU","NYM","2","$86,666,666 ","$43,333,333 ",NA,NA,NA,NA,NA,175,1.75,0.83,18,NA,5.5,1,2,43333333,3,3
1921,"Blake Perkins","RF",26.2,"","","NYY","MIL","1","$720,000 ","$720,000 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,720000,1,2
1947,"Drew Rucinski","SP",33.9,"R","R","","OAK","1","$3,000,000 ","$3,000,000 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3e+06,1,2
1963,"Guillermo Zuniga","P",24.1,"","","LAD","STL","1","$720,000 ","$720,000 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,720000,1,1
1998,"Kodai Senga","SP",29.8,"","","JPN","NYM","5","$75,000,000 ","$15,000,000 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1.5e+07,3,2
2009,"Masataka Yoshida","LF",29.3,"L","R","","BOS","5","$90,000,000 ","$18,000,000 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1.8e+07,3,2
2031,"Scott McGough","RP",33.1,"R","R","","ARI","2","$6,250,000 ","$3,125,000 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3125000,1,2
2032,"Shintaro Fujinami","RP",28.7,"","","","OAK","1","$3,250,000 ","$3,250,000 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3250000,1,2
2043,"Vincent Velasquez","SP",30.4,"R","R","CHW","PIT","1","$3,150,000 ","$3,150,000 ",NA,NA,NA,NA,NA,75.3,4.78,1.24,3,NA,0.23,1,1,3150000,1,2
2049,"Yu-Cheng Chang","SS",27.4,"R","R","BOS","BOS","1","$850,000 ","$850,000 ",35,15,4,0.208,0.604,2,NA,NA,NA,NA,-0.25,2,1,850000,1,2
1397,"Tyler Anderson","SP",32.8,"L","L","LAD","LAA","3","$39,000,000 ","$13,000,000 ",NA,NA,NA,NA,NA,178.7,2.57,1,15,NA,4.26,1,2,1.3e+07,3,2
267,"Chris Bassitt","SP",33.8,"R","R","NYM","TOR","3","$63,000,000 ","$21,000,000 ",NA,NA,NA,NA,NA,181.7,3.42,1.15,15,NA,3.18,1,2,2.1e+07,3,2
1462,"Xander Bogaerts","SS",30.2,"R","R","BOS","SD","11","$280,000,000 ","$25,454,545 ",171,73,15,0.307,0.833,NA,NA,NA,NA,NA,5.42,2,NA,25454545,3,2
