"PlayerID","Player","POS.","AGE","BATS","THROWS","FROM","TO","YRS","DOLLARS","AVG..SALARY","H","RBI","HR","AVG","OPS","IP","ERA","WHIP","W","SV","WAR","dummy_Pos","dummy_Years","contract_value","dummy_salary","dummy_Age"
1168,"Rich Hill","SP",41.7,"L","L","NYM","BOS",1,"$5,000,000 ",5e+06,3,NA,NA,0.125,0.25,158.7,3.86,1.21,7,NA,0.78,1,1,5e+06,2,3
1181,"Robbie Ray","SP",30.1,"L","L","TOR","SEA",5,"$115,000,000 ",2.3e+07,NA,NA,NA,NA,NA,193.3,2.84,1.05,13,NA,6.59,1,2,2.3e+07,3,2
1187,"Roberto Perez","C",32.9,"R","R","CLE","PIT",1,"$5,000,000 ",5e+06,21,17,7,0.149,0.564,NA,NA,NA,NA,NA,-0.11,2,1,5e+06,2,2
1188,"Robinson Chirinos","C",37.8,"R","R","CHC","BAL",1,"$900,000 ",9e+05,22,15,5,0.227,0.778,NA,NA,NA,NA,NA,0.16,2,1,9e+05,1,3
1225,"Ryan Tepera","RP",34.3,"R","R","CHW","LAA",2,"$14,000,000 ",7e+06,NA,NA,NA,NA,NA,61.3,2.79,0.88,0,2,1.1,1,2,7e+06,3,3
1257,"Sean Doolittle","RP",35.4,"L","L","SEA","WSH",1,"$1,500,000 ",1500000,NA,NA,NA,NA,NA,49.7,4.53,1.47,3,1,0.65,1,1,1500000,1,3
1298,"Starling Marte","RF",33.1,"R","R","OAK","NYM",4,"$78,000,000 ",19500000,144,55,12,0.308,0.837,NA,NA,NA,NA,NA,2.81,3,2,19500000,3,2
1306,"Stephen Vogt","C",37.3,"L","R","ATL","OAK",1,"$850,000 ",850000,41,25,7,0.195,0.616,NA,NA,NA,NA,NA,0.27,2,1,850000,1,3
1307,"Steve Cishek","RP",35.7,"R","R","LAA","WSH",1,"$1,750,000 ",1750000,NA,NA,NA,NA,NA,68.3,3.42,1.49,0,0,1.16,1,1,1750000,1,3
1310,"Steven Matz","SP",30.4,"R","L","TOR","STL",4,"$44,000,000 ",1.1e+07,NA,NA,NA,NA,NA,150.7,3.82,1.33,14,NA,2.07,1,2,1.1e+07,3,2
1326,"Taylor Clarke","RP",28.5,"R","R","ARI","KC",1,"$975,000 ",975000,1,NA,NA,0.333,0.666,43.3,4.99,1.52,1,0,0.02,1,1,975000,1,2
1346,"Tim Locastro","OF",29.6,"R","R","BOS","NYY",1,"$900,000 ",9e+05,25,7,2,0.18,0.515,NA,NA,NA,NA,NA,-0.81,3,1,9e+05,1,2
1356,"Tommy Pham","LF",34,"R","R","SD","CIN",1,"$7,500,000 ",7500000,109,49,15,0.229,0.723,NA,NA,NA,NA,NA,1.38,3,1,7500000,3,2
1385,"Trevor Story","SS",29.3,"R","R","COL","BOS",6,"$140,000,000 ",23333333,132,75,24,0.251,0.8,NA,NA,NA,NA,NA,4.21,2,2,23333333,3,2
1397,"Tyler Anderson","SP",32.2,"L","L","SEA","LAD",1,"$8,000,000 ",8e+06,4,1,1,0.103,0.304,167,4.53,1.25,7,NA,1.36,1,1,8e+06,3,2
1467,"Yan Gomes","C",34.3,"R","R","OAK","CHC",2,"$13,000,000 ",6500000,88,52,14,0.252,0.722,NA,NA,NA,NA,NA,2.05,2,2,6500000,3,3
1474,"Yimi Garcia","RP",31.2,"R","R","HOU","TOR",2,"$11,000,000 ",5500000,NA,NA,NA,NA,NA,57.7,4.21,1.16,4,15,0.8,1,2,5500000,3,2
2050,"Yoshitomo Tsutsugo","1B",29.9,"L","R","PIT","PIT",1,"$4,000,000 ",4e+06,50,32,8,0.217,0.69,NA,NA,NA,NA,NA,-0.6,2,1,4e+06,2,2
1486,"Yusei Kikuchi","SP",30.7,"L","L","SEA","TOR",3,"$36,000,000 ",1.2e+07,NA,NA,NA,NA,NA,157,4.41,1.32,7,NA,1.73,1,2,1.2e+07,3,2
1491,"Zach Davies","SP",29.1,"R","R","CHC","ARI",1,"$4,500,000 ",4500000,6,2,NA,0.176,0.352,148,5.78,1.6,6,NA,-0.95,1,1,4500000,2,2
1502,"Zack Greinke","SP",38.3,"R","R","HOU","KC",1,"$13,000,000 ",1.3e+07,NA,NA,NA,NA,NA,171,4.16,1.17,11,NA,1.19,1,1,1.3e+07,3,3
