"PlayerID","PLAYER","AGE","AVG. SALARY","H","RBI","HR","AVG","OPS","WAR","Predicted_Salary","Model_Error","Model_Difference"
45,"Austin Romine",32.2,1500000,31,17,2,0.238,0.582,-0.19,1328565.73290735,0.114289511395097,0.12121639253293
281,"Kurt Suzuki",37.2,1500000,30,17,2,0.27,0.745,0.23,1825259.19578173,-0.216839463854484,0.195629379023647
111,"Curt Casali",32.1,1500000,17,8,6,0.224,0.866,0.48,4126689.24556798,-1.75112616371199,0.933653568174914
15,"Albert Almora",26.8,1250000,5,1,0,0.167,0.465,-0.1,1307482.48102788,-0.0459859848223034,0.0449523947509321
5,"Abraham Almonte",31.3,990000,1,0,0,0.091,0.322,-0.16,1139233.06958786,-0.150740474331172,0.140175419703346
120,"Daniel Robertson",26.8,9e+05,7,2,0,0.333,0.75,0.03,1215233.64660295,-0.350259607336609,0.298060355752388
294,"Maikel Franco",28.5,8e+05,62,38,8,0.278,0.778,1.04,3272446.1194962,-3.09055764937025,1.21423147020153
68,"Brian O'Grady",28.5,650000,2,0,0,0.4,1,0.09,1772431.89230756,-1.72681829585779,0.92669841069369
383,"Scott Heineman",27.9,595000,8,7,1,0.154,0.454,-0.26,1332288.5929651,-1.23914049237833,0.765104505527942
16,"Albert Pujols",41.2,570500,34,25,6,0.224,0.665,0.01,1714934.50440223,-2.0060201654728,1.0015027796227
107,"Corey Seager",27.6,32500000,108,57,16,0.306,0.915,3.7,6221901.01847539,0.808556891739219,1.35727318599294
280,"Kris Bryant",30.2,2.6e+07,136,73,25,0.265,0.834,2.17,6393604.0152056,0.754092153261323,1.21051032022193
300,"Marcus Semien",31.2,2.5e+07,173,102,45,0.265,0.872,7.25,4797942.09625365,0.808082316149854,1.35593644946953
159,"Freddie Freeman",32.5,2.7e+07,180,83,31,0.3,0.895,4.65,5258719.63666007,0.805232606049627,1.34793200773116
423,"Trevor Story",29.3,23333333,132,75,24,0.251,0.8,4.21,5853593.10123234,0.749131720649067,1.19777874779555
208,"Javier Baez",28.9,23333333,133,87,31,0.265,0.813,2.66,5923582.09804605,0.746132192171343,1.1901289554015
77,"Carlos Correa",27.4,35100000,154,92,26,0.277,0.847,7.23,4871186.44212237,0.861219759483693,1.51253021231424
344,"Nick Castellanos",30,2e+07,164,100,34,0.309,0.939,3.24,7038750.48179567,0.648062475910216,0.958716603929662
283,"Kyle Schwarber",29,19750000,106,71,32,0.266,0.928,1.83,8066898.61523365,0.59154943720336,0.840000285176883
394,"Starling Marte",33.1,19500000,144,55,12,0.308,0.837,2.81,4490492.95848328,0.76971830982137,1.25128792205241
94,"Chris Taylor",31.2,1.5e+07,129,73,20,0.254,0.782,2.59,5371624.47473507,0.641891701684329,0.945273219345473
47,"Avisaíl García",30.4,13250000,121,86,29,0.262,0.821,2.9,5783228.38015075,0.563529933573528,0.784603796131206
243,"Jorge Soler",30,1.2e+07,115,70,27,0.223,0.748,-1.35,5775757.24239301,0.518686896467249,0.700306903692737
38,"Anthony Rizzo",32.6,1.6e+07,123,61,22,0.248,0.784,1.18,5477868.08693761,0.6576332445664,0.979811578176303
302,"Mark Canha",32.8,13250000,120,61,17,0.231,0.745,2.54,5164371.08314537,0.610236144668274,0.878186811848859
143,"Eduardo Escobar",32.8,1e+07,139,90,28,0.253,0.786,2.13,5589905.8029698,0.44100941970302,0.56576277660255
56,"Brandon Belt",33.5,18400000,89,59,29,0.274,0.975,2.65,7870770.36594418,0.572240740981295,0.801592757835931
142,"Eddie Rosario",30.4,9e+06,98,62,14,0.259,0.74,0.56,3839572.01528674,0.573380887190363,0.803831775478074
285,"Leury García",30.7,5500000,111,54,5,0.267,0.711,2.11,3603089.03940815,0.344892901925791,0.416762035915488
342,"Nelson Cruz",41.7,1.5e+07,136,86,32,0.265,0.831,2.05,4929769.40947982,0.671348706034678,1.01057171145494
442,"Yan Gomes",34.3,6500000,88,52,14,0.252,0.722,2.05,3478780.71115895,0.464802967514008,0.605528746706002
55,"Brad Miller",32.3,5e+06,75,49,20,0.227,0.774,0.36,4349822.09270597,0.130035581458805,0.139078134502954
31,"Andrew McCutchen",35.4,8500000,107,80,27,0.222,0.778,1.36,5500984.97207189,0.352825297403307,0.428400578089373
296,"Manuel Pina",34.4,4e+06,34,33,13,0.189,0.732,1.3,3938725.75291843,0.0153185617703932,0.0154367965309917
411,"Tommy Pham",34,7500000,109,49,15,0.229,0.723,1.38,4478328.51749918,0.402889531000109,0.50452306064013
222,"Joc Pederson",29.8,6e+06,103,61,18,0.24,0.739,-0.26,4498716.42876403,0.250213928539328,0.285993736743437
251,"Josh Harrison",34.7,5500000,141,60,8,0.279,0.741,2.55,3756183.12707866,0.317057613258425,0.376789622456768
278,"Kole Calhoun",34.1,5200000,39,17,5,0.235,0.67,-0.09,1943458.13109717,0.626258051712082,0.911755009727383
104,"Corey Dickerson",32.8,5e+06,91,29,6,0.271,0.734,-0.1,3028799.08094956,0.394240183810088,0.491032568924943
245,"Jose Iglesias",32.2,5e+06,131,48,9,0.271,0.7,-1.09,3902302.26778636,0.219539546442728,0.246609854213946
369,"Roberto Perez",32.9,5e+06,21,17,7,0.149,0.564,-0.11,2114737.7468224,0.57705245063552,0.811066368388975
136,"Donovan Solano",34.2,4500000,86,31,7,0.28,0.748,1.14,2978015.90188916,0.338218688469077,0.407055592841505
26,"Andrelton Simmons",32.5,4e+06,92,31,3,0.223,0.557,1.47,2413503.16148751,0.396624209628123,0.494736432980733
82,"Cesar Hernandez",31.5,4e+06,132,62,21,0.232,0.694,1.12,4781402.3495141,-0.195350587378526,0.177967554249998
446,"Yoshitomo Tsutsugo",29.9,4e+06,50,32,8,0.217,0.69,-0.6,2674729.40450201,0.331317648874497,0.397100920556903
16,"Albert Pujols",42.2,2500000,65,50,17,0.236,0.717,-0.72,2240188.27581007,0.103924689675973,0.10962084587053
348,"Niko Goodrum",30,2100000,62,33,9,0.214,0.651,0.03,2814641.13414673,-0.340305301974631,0.29082128873314
311,"Matt Carpenter",36.5,2e+06,35,21,3,0.169,0.58,-1.05,1759462.60443522,0.120268697782388,0.127963712303457
357,"Pedro Severino",28.3,1900000,94,46,11,0.248,0.691,0.95,3586132.55123981,-0.887438184863056,0.614688958201989
351,"Odubel Herrera",30.2,1750000,117,51,13,0.26,0.726,1.78,4146180.20575199,-1.36924583185828,0.812790695716663
281,"Kurt Suzuki",38.4,1750000,49,16,6,0.224,0.636,-0.43,1756936.74708425,-0.00396385547671401,0.00395601494096914
169,"Hanser Alberto",29.3,1600000,65,24,2,0.27,0.693,0.37,2388865.02457743,-0.493040640360895,0.395533576451864
312,"Matt Duffy",31.2,1500000,83,30,5,0.287,0.738,1.64,2958299.59474686,-0.972199729831239,0.65419542305553
148,"Ehire Adrianza",32.5,1500000,45,28,5,0.247,0.728,0.3,2529794.55032189,-0.686529700214596,0.511090348384949
98,"Clint Frazier",27.2,1500000,34,15,5,0.186,0.634,-1.41,2189444.72628065,-0.459629817520431,0.373739018974641
229,"Johan Camargo",27.9,1400000,0,0,0,0,0.111,-0.36,1019039.61928143,0.272114557656118,0.314968285498134
194,"Jake Marisnick",31,1300000,38,24,5,0.216,0.661,0.42,2452641.74284677,-0.886647494497512,0.614309503455221
102,"Colin Moran",29.4,1e+06,82,50,10,0.258,0.724,-0.01,3213981.74041925,-2.21398174041925,1.05077899089282
21,"Alex Dickerson",31.8,1e+06,66,38,13,0.233,0.724,-0.1,3154181.50371316,-2.15418150371316,1.03711477304864
114,"Dan Vogelbach",29.2,1e+06,47,24,9,0.219,0.73,-0.17,3181986.88420529,-2.18198688420529,1.04351684719353
406,"Tim Locastro",29.6,9e+05,25,7,2,0.18,0.515,-0.81,1411438.80337893,-0.568265337087695,0.442528526068949
371,"Robinson Chirinos",37.8,9e+05,22,15,5,0.227,0.778,0.16,2539856.03943322,-1.82206226603691,0.953444574792971
291,"Luke Maile",31.1,9e+05,9,3,0,0.3,0.815,0.25,1866983.58443012,-1.07442620492236,0.698944214827554
210,"Jed Lowrie",37.9,850000,112,69,14,0.245,0.716,0.13,3621148.20061299,-3.26017435366234,1.23956893230829
396,"Stephen Vogt",37.3,850000,41,25,7,0.195,0.616,0.27,2099335.1346146,-1.46980604072306,0.847197810755307
30,"Andrew Knapp",30.3,8e+05,22,11,2,0.152,0.429,-1.47,1069387.49504767,-0.336734368809589,0.28820936885619
325,"Michael Hermosillo",26.8,707000,7,7,3,0.194,0.737,0.12,3092425.18946803,-3.37401016897883,1.25567688295609
262,"Justin Upton",34.7,7e+05,67,41,17,0.211,0.705,-0.71,3070063.76590264,-3.38580537986092,1.25730699164193
3,"Aaron Judge",30.6,4e+07,177,131,62,0.311,1.111,10.53,5616439.12834472,0.859589021791382,1.50750744813355
417,"Trea Turner",29.4,27272727,194,100,21,0.298,0.809,4.84,4030843.1725645,0.852202415527992,1.48493502174429
440,"Xander Bogaerts",30.2,25454545,171,73,15,0.307,0.833,5.42,3901558.23992395,0.846724494980211,1.46838199770086
77,"Carlos Correa",28.2,33333333,152,64,22,0.291,0.833,5.55,4691188.51954796,0.859264343006205,1.50650913336161
124,"Dansby Swanson",28.8,25285714,177,96,25,0.277,0.776,5.57,3910845.59779394,0.845333788170113,1.46420459784728
59,"Brandon Nimmo",29.7,20250000,159,64,16,0.274,0.8,4.34,4927941.51387968,0.756644863512114,1.2171017616888
