"Player","Pos","Age","Bats","Throws","BaseSalary","Team"
"Tyler Rogers","RP","32","","R","$1,675,000 "," SF"
"Austin Gomber","SP","29","","L","$1,650,000 "," COL"
"Tom Murphy","C","32","R","","$1,625,000 "," SEA"
"Elieser Hernandez","RP","28","","R","$1,600,000 "," NYM"
"Luis Guillorme","SS","28","L","","$1,600,000 "," NYM"
"Miguel Andujar","3B","28","R","","$1,525,000 "," PIT"
"Brad Hand","RP","33","","L","$1,500,000 "," ATL"
"Dillon Tate","RP","29","","R","$1,500,000 "," BAL"
"Joely Rodriguez","RP","31","","L","$1,500,000 "," BOS"
"Emmanuel Clase","RP/CL","25","","R","$1,500,000 "," CLE"
"James Karinchak","RP","27","","R","$1,500,000 "," CLE"
"Yency Almonte","RP","29","","R","$1,500,000 "," LAD"
"Shelby Miller","RP","32","","R","$1,500,000 "," LAD"
"Andres Munoz","RP","24","","R","$1,500,000 "," SEA"
"Will Smith","RP/CL","33","","L","$1,500,000 "," TEX"
"Trevor Richards","RP","30","","R","$1,500,000 "," TOR"
"Tanner Rainey","RP","30","","R","$1,500,000 "," WSH"
"Gary Sanchez","C","30","R","","$1,500,000 "," SD"
"Matt Duffy","3B","32","R","","$1,500,000 "," KC"
"Dan Vogelbach","DH","30","L","","$1,500,000 "," NYM"
"Kyle Higashioka","C","33","R","","$1,462,500 "," NYY"
"Trayce Thompson","CF","32","R","","$1,450,000 "," CHW"
"Jordan Luplow","RF","29","R","","$1,400,000 "," MIN"
"Tim Locastro","OF","30","R","","$1,400,000 "," NYM"
"Ryan O'Hearn","1B","29","L","","$1,400,000 "," BAL"
"Mauricio Dubon","2B","28","R","","$1,400,000 "," HOU"
"LaMonte Wade Jr.","LF","29","L","","$1,375,000 "," SF"
"Trevor Stephan","RP","27","","R","$1,350,000 "," CLE"
"Christian Bethancourt","C","31","R","","$1,350,000 "," TB"
"Michael King","SP","28","","R","$1,300,000 "," NYY"
"Evan Phillips","RP/CL","28","","R","$1,300,000 "," LAD"
"Drew Smith","RP","29","","R","$1,300,000 "," NYM"
"Jeff Hoffman","RP","30","","R","$1,300,000 "," PHI"
"Harold Castro","3B","29","L","","$1,300,000 "," COL"
"Yonny Chirinos","RP","29","","R","$1,275,000 "," ATL"
"Brett Martin","RP","28","","L","$1,275,000 "," TEX"
"Lucas Sims","RP","29","","R","$1,267,500 "," CIN"
