PLAYER,POS.,AGE,BATS,THROWS,FROM,TO,YRS,DOLLARS,AVG. SALARY,H,RBI,HR,AVG,OPS,IP,ERA,WHIP,W,SV,WAR
Dominic Smith,1B,27.5,L,L,NYM,WSH,1,"$2,000,000 ","$2,000,000 ",26,17,,0.194,0.56,,,,,,-0.37
Will Smith,RP,33.6,R,L,HOU,TEX,1,"$1,500,000 ","$1,500,000 ",,,,,,59,3.97,1.41,0,5,-0.67
Drew Smyly,SP,33.5,L,L,CHC,CHC,2,"$19,000,000 ","$9,500,000 ",,,,,,106.3,3.47,1.19,7,,1.86
Donovan Solano,2B,35.2,R,R,CIN,MIN,1,"$2,000,000 ","$2,000,000 ",79,24,4,0.284,0.724,,,,,,0.94
Jackson Stephens,RP,28.6,R,R,ATL,ATL,1,"$740,000 ","$740,000 ",,,,,,53.7,3.69,1.34,3,2,0.18
Matt Strahm,RP,31,R,L,BOS,PHI,2,"$15,000,000 ","$7,500,000 ",,,,,,44.7,3.83,1.23,4,4,0.19
Ross Stripling,SP,33,R,R,TOR,SF,2,"$25,000,000 ","$12,500,000 ",,,,,,134.3,3.02,1.02,10,,2.75
Robert Suarez,RP,31.7,,,SD,SD,5,"$46,000,000 ","$9,200,000 ",,,,,,47.7,2.27,1.05,5,1,1.36
Dansby Swanson QO,SS,28.8,R,R,ATL,CHC,7,"$177,000,000 ","$25,285,714 ",177,96,25,0.277,0.776,,,,,,5.57
Noah Syndergaard,SP,30.2,L,R,PHI,LAD,1,"$13,000,000 ","$13,000,000 ",,,,,,134.7,3.94,1.26,10,,1.08
Jameson Taillon,SP,31,R,R,NYY,CHC,4,"$68,000,000 ","$17,000,000 ",,,,,,177.3,3.91,1.13,13,,1.36
Raimel Tapia,LF,29.3,L,L,BOS,MIL,1,"$720,000 ","$720,000 ",109,52,7,0.265,0.672,,,,,,0.19
Ryan Tepera,RP,35.7,R,R,LAA,STL,-,-,-,,,,,,57.3,3.61,1.08,5,6,0.52
Justin Turner,3B,38,R,R,LAD,BOS,2,"$21,700,000 ","$10,850,000 ",130,81,13,0.278,0.788,,,,,,1.97
Trea Turner QO,SS,29.4,R,R,LAD,PHI,11,"$300,000,000 ","$27,272,727 ",194,100,21,0.298,0.809,,,,,,4.84
Christian Vazquez,C,32.2,R,R,HOU,MIN,3,"$30,000,000 ","$10,000,000 ",109,52,9,0.274,0.714,,,,,,2.31
Vincent Velasquez,SP,30.4,R,R,CHW,PIT,1,"$3,150,000 ","$3,150,000 ",,,,,,75.3,4.78,1.24,3,,0.23
Justin Verlander,SP,39.8,R,R,HOU,NYM,2,"$86,666,666 ","$43,333,333 ",,,,,,175,1.75,0.83,18,,5.5
Michael Wacha,SP,31.6,R,R,BOS,SD,4,"$26,000,000 ","$6,500,000 ",,,,,,127.3,3.32,1.12,11,,3.31
Taijuan Walker,SP,30.2,R,R,NYM,PHI,4,"$72,000,000 ","$18,000,000 ",,,,,,157.3,3.49,1.2,12,,2.27
Luke Weaver,SP,30,R,R,CIN,SEA,1,"$720,000 ","$720,000 ",,,,,,35.7,6.56,1.82,1,,-0.41
Trevor Williams,RP,30.6,R,R,NYM,WSH,2,"$13,000,000 ","$6,500,000 ",,,,,,89.7,3.21,1.23,3,1,1.3
Justin Wilson,RP,35.5,L,L,CIN,MIL,1,"$1,000,000 ","$1,000,000 ",,,,,,3.7,2.46,0.82,0,0,0.13
Austin Wynns,C,32.3,R,R,SF,LAD,1,"$720,000 ","$720,000 ",42,21,3,0.259,0.67,2,,,,,0.55
Ryan Yarbrough,SP,30.9,R,L,TB,KC,1,"$3,000,000 ","$3,000,000 ",,,,,,80,4.5,1.38,3,,0.06
Masataka Yoshida,LF,29.3,L,R,,BOS,5,"$90,000,000 ","$18,000,000 ",,,,,,,,,,,
Guillermo Zuniga,P,24.1,,,LAD,STL,1,"$720,000 ","$720,000 ",,,,,,,,,,,
Mike Zunino,C,31.7,R,R,TB,CLE,1,"$6,000,000 ","$6,000,000 ",17,16,5,0.148,0.499,,,,,,-0.8
